symbol,marketcapname_x,market_cap_x,industry_x,sector_x,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,marketcapname_y,market_cap_y,industry_y,sector_y,signal,signal_date,last_close,fib_1d_direction,fib_1d_swing_high,fib_1d_swing_high_at,fib_1d_swing_low,fib_1d_swing_low_at,fib_15m_direction,fib_15m_swing_high,fib_15m_swing_high_at,fib_15m_swing_low,fib_15m_swing_low_at,fib_5m_direction,fib_5m_swing_high,fib_5m_swing_high_at,fib_5m_swing_low,fib_5m_swing_low_at
SHIVALIK,smallcap,397.7,pesticides / agrochemicals - indian,chemicals,True,,5,20,3.61,2.25,36.0,10.0,26.0,27.78,31.84,28.27,3.18,1.09,11.3,2.5,1.13,0.1,2.34,-0.92,2.54,0.09,0.08,14.88,9.93,-18.0,2.25,20.25,0.81,4.0,0.0,2.0,7.0,smallcap,397.7,pesticides / agrochemicals - indian,chemicals,sell,2026-06-22T15:15:00+05:30,217.0,down,245.7,2026-06-10 IST,215.45,2026-06-15 IST,up,221.0,2026-06-22 13:00 IST,214.0,2026-06-22 10:00 IST,down,226.0,2026-06-18 09:40 IST,219.0,2026-06-18 10:50 IST
BANCOINDIA,midcap,9366.08,auto ancillaries,auto,True,,5,10,30.45,21.2,54.0,21.0,33.0,38.89,43.91,23.8,2.09,0.72,6.69,1.98,1.85,0.37,1.45,-0.53,2.74,0.62,0.88,5.92,126.26,12.93,21.2,8.27,0.81,4.0,0.0,3.0,4.0,midcap,9366.08,auto ancillaries,auto,sell,2026-06-22T15:15:00+05:30,669.45,up,705.95,2026-06-15 IST,624.15,2026-06-08 IST,up,680.6,2026-06-22 10:00 IST,658.2,2026-06-19 15:00 IST,up,696.45,2026-06-12 14:05 IST,672.3,2026-06-12 12:50 IST
PNGJL,midcap,7440.89,diamond cutting / jewellery,consumer discretionary,True,,15,90,34.22,24.22,7.0,3.0,4.0,42.86,27.18,3.65,9.06,0.91,18.46,1.31,7.46,3.36,6.9,-0.97,7.08,0.67,0.66,9.3,151.23,1.81,24.22,22.41,7.29,23.0,0.0,1.0,3.0,midcap,7440.89,diamond cutting / jewellery,consumer discretionary,sell,2026-06-22T15:15:00+05:30,550.25,up,567.5,2026-06-16 IST,528.55,2026-06-11 IST,up,563.65,2026-06-15 09:15 IST,533.0,2026-06-12 11:30 IST,up,563.65,2026-06-15 09:15 IST,544.0,2026-06-12 15:10 IST
BELRISE,midcap,19389.58,auto ancillaries,auto,True,,5,10,15.86,10.5,53.0,19.0,34.0,35.85,34.65,23.84,1.82,0.7,7.2,2.19,1.45,0.2,1.32,-0.55,2.41,0.36,0.41,9.65,52.84,10.18,10.5,0.33,0.64,4.0,0.0,6.0,7.0,midcap,19389.58,auto ancillaries,auto,buy,2026-06-22T15:15:00+05:30,247.7,up,245.6,2026-06-17 IST,218.42,2026-06-11 IST,up,249.48,2026-06-22 10:45 IST,239.61,2026-06-19 14:45 IST,up,243.7,2026-06-17 09:25 IST,236.5,2026-06-16 15:25 IST
CCL,midcap,14294.16,tea,fmcg,True,,15,20,-7.65,-5.41,24.0,8.0,16.0,33.33,12.57,17.74,1.57,1.11,5.63,3.52,0.71,-0.22,1.83,-0.88,2.08,-0.15,-0.13,15.48,-21.05,3.28,-5.41,-8.7,1.88,9.0,0.0,5.0,8.0,midcap,14294.16,tea,fmcg,sell,2026-06-22T15:15:00+05:30,1148.7,down,1236.2,2026-06-10 IST,1102.1,2026-06-18 IST,up,1224.0,2026-06-22 11:30 IST,1130.2,2026-06-19 15:00 IST,down,1224.0,2026-06-22 11:30 IST,1181.5,2026-06-22 11:40 IST
REDTAPE,midcap,7628.19,trading,consumer discretionary,True,,5,10,29.71,22.39,59.0,17.0,42.0,28.81,48.84,27.17,2.87,0.65,10.23,3.35,1.8,0.37,1.53,-0.5,3.04,0.49,0.55,12.05,135.85,15.09,22.39,7.3,0.59,4.0,0.0,2.0,9.0,midcap,7628.19,trading,consumer discretionary,sell,2026-06-22T15:15:00+05:30,135.69,up,139.61,2026-06-15 IST,129.02,2026-06-10 IST,up,137.8,2026-06-22 09:15 IST,133.2,2026-06-19 14:45 IST,up,137.8,2026-06-22 09:15 IST,133.2,2026-06-19 14:55 IST
DOMS,midcap,13244.62,printing & stationery,miscellaneous,True,,5,10,9.27,6.02,54.0,16.0,38.0,29.63,30.72,24.15,1.92,0.64,6.29,2.24,1.27,0.12,1.18,-0.52,2.27,0.22,0.2,14.2,28.18,0.18,6.02,5.84,0.61,4.0,0.0,3.0,14.0,midcap,13244.62,printing & stationery,miscellaneous,sell,2026-06-22T15:15:00+05:30,2262.0,up,2381.8,2026-06-18 IST,2061.6,2026-06-08 IST,up,2318.0,2026-06-22 10:15 IST,2245.5,2026-06-19 13:00 IST,down,2359.8,2026-06-18 14:55 IST,2252.7,2026-06-19 09:35 IST
AFCONS,midcap,12032.07,construction,realty,True,,5,60,13.74,9.88,20.0,6.0,14.0,30.0,30.83,20.01,5.14,1.43,11.26,4.34,1.54,0.54,3.02,-1.06,2.86,0.26,0.25,15.89,49.2,11.9,9.88,-2.03,2.3,11.0,0.0,2.0,7.0,midcap,12032.07,construction,realty,sell,2026-06-22T15:15:00+05:30,315.55,up,346.5,2026-06-10 IST,309.15,2026-06-08 IST,down,328.95,2026-06-17 11:30 IST,317.6,2026-06-17 15:15 IST,up,332.45,2026-06-15 09:15 IST,318.05,2026-06-12 13:00 IST
PCBL,midcap,11459.6,chemicals,chemicals,True,,5,10,2.83,1.65,51.0,16.0,35.0,31.37,27.55,25.39,1.72,0.73,4.87,2.74,1.08,0.04,1.38,-0.56,2.46,0.08,0.08,11.04,7.2,3.23,1.65,-1.58,0.69,5.0,0.0,3.0,7.0,midcap,11459.6,chemicals,chemicals,sell,2026-06-22T15:15:00+05:30,310.8,down,298.0,2026-06-04 IST,275.7,2026-06-11 IST,up,318.65,2026-06-19 10:30 IST,303.95,2026-06-19 09:15 IST,up,317.5,2026-06-19 09:20 IST,303.95,2026-06-19 09:15 IST
MMTC,midcap,9721.5,trading,services,True,,5,20,35.43,27.73,33.0,12.0,21.0,36.36,46.12,19.66,3.84,0.94,15.64,2.59,2.35,0.8,2.64,-0.65,4.04,0.51,0.76,10.8,182.74,20.05,27.73,7.68,1.18,5.0,0.0,3.0,5.0,midcap,9721.5,trading,services,sell,2026-06-22T15:15:00+05:30,75.18,up,78.35,2026-06-17 IST,62.9,2026-06-11 IST,up,77.09,2026-06-22 09:30 IST,74.06,2026-06-19 13:00 IST,up,77.09,2026-06-22 09:40 IST,74.76,2026-06-22 09:25 IST
HOMEFIRST,midcap,11158.92,finance - housing,financials,True,,5,70,32.88,22.66,12.0,4.0,8.0,33.33,28.22,5.28,7.06,0.66,23.77,1.08,5.35,1.91,3.63,-0.63,5.78,0.68,0.7,6.31,138.07,-0.23,22.66,22.89,3.33,22.0,0.0,2.0,3.0,midcap,11158.92,finance - housing,financials,buy,2026-06-22T15:15:00+05:30,1150.0,down,1087.0,2026-06-05 IST,1018.5,2026-06-11 IST,up,1142.7,2026-06-16 09:45 IST,1108.7,2026-06-15 15:15 IST,up,1142.7,2026-06-16 09:45 IST,1108.7,2026-06-15 15:25 IST
RELAXO,midcap,8171.41,leather / leather products,consumer discretionary,True,,5,100,41.86,31.23,8.0,3.0,5.0,37.5,35.03,5.14,11.68,1.03,19.32,1.49,6.82,3.74,6.18,-0.78,7.92,0.71,0.9,7.65,217.18,5.01,31.23,26.22,5.88,23.0,0.0,1.0,3.0,midcap,8171.41,leather / leather products,consumer discretionary,sell,2026-06-22T15:15:00+05:30,356.25,up,375.7,2026-06-18 IST,315.2,2026-06-08 IST,down,375.15,2026-06-18 14:30 IST,355.1,2026-06-19 11:45 IST,down,375.15,2026-06-18 14:40 IST,359.3,2026-06-19 10:00 IST
TIMETECHNO,midcap,8502.38,plastics products,plastic products,True,,50,90,8.7,5.63,4.0,1.0,3.0,25.0,14.78,8.17,14.78,2.72,14.78,3.96,1.81,1.65,7.26,-2.86,2.54,0.2,0.18,8.4,26.17,-2.47,5.63,8.1,10.5,22.0,5.0,1.0,2.0,midcap,8502.38,plastics products,plastic products,sell,2026-06-22T15:15:00+05:30,175.6,up,181.7,2026-06-17 IST,162.5,2026-06-11 IST,up,177.41,2026-06-15 10:00 IST,165.34,2026-06-12 13:00 IST,up,177.41,2026-06-15 10:00 IST,166.92,2026-06-12 14:45 IST
EIDPARRY,midcap,13434.73,sugar,fmcg,True,,5,10,2.63,1.44,54.0,20.0,34.0,37.04,17.78,16.12,0.89,0.47,3.88,1.94,1.1,0.03,0.93,-0.39,2.35,0.08,0.09,10.17,6.24,-10.03,1.44,11.46,0.5,4.0,0.0,5.0,7.0,midcap,13434.73,sugar,fmcg,sell,2026-06-22T15:15:00+05:30,714.4,up,749.65,2026-06-15 IST,704.75,2026-06-11 IST,down,724.55,2026-06-19 09:15 IST,701.25,2026-06-19 09:45 IST,down,724.55,2026-06-19 09:15 IST,701.25,2026-06-19 09:50 IST
ESABINDIA,midcap,9414.37,electrodes - welding equipment,industrials,True,,20,30,48.68,35.08,11.0,5.0,6.0,45.45,40.76,8.16,8.15,1.36,20.08,4.31,5.0,2.96,5.04,-1.08,4.67,0.91,0.96,7.93,258.66,10.45,35.08,24.63,4.64,13.0,0.0,2.0,2.0,midcap,9414.37,electrodes - welding equipment,industrials,buy,2026-06-22T15:15:00+05:30,5779.0,up,5860.0,2026-06-15 IST,5550.5,2026-06-11 IST,down,5940.0,2026-06-19 15:15 IST,5742.5,2026-06-22 11:45 IST,down,6348.0,2026-06-02 09:15 IST,6156.0,2026-06-02 09:15 IST
GNFC,midcap,7446.95,chemicals,chemicals,True,,10,20,33.09,23.13,21.0,7.0,14.0,33.33,35.56,13.38,5.08,0.96,9.95,2.61,2.66,1.06,2.7,-0.78,3.45,0.66,0.84,9.85,141.98,14.65,23.13,8.48,1.9,11.0,0.0,2.0,5.0,midcap,7446.95,chemicals,chemicals,sell,2026-06-22T15:15:00+05:30,581.5,down,512.0,2026-06-09 IST,484.0,2026-06-11 IST,down,616.0,2026-06-22 10:15 IST,584.6,2026-06-22 11:45 IST,down,616.0,2026-06-22 10:20 IST,592.5,2026-06-22 10:35 IST
TIIL,midcap,5580.0,steel - medium / small,metals & mining,True,,5,50,23.04,16.23,23.0,8.0,15.0,34.78,26.36,10.68,3.3,0.71,7.2,2.74,2.47,0.68,2.58,-0.65,3.94,0.45,0.47,7.38,89.43,17.16,16.23,-0.93,1.65,8.0,0.0,3.0,7.0,midcap,5580.0,steel - medium / small,metals & mining,sell,2026-06-22T15:15:00+05:30,2586.2,up,2579.1,2026-06-15 IST,2450.3,2026-06-11 IST,up,2647.6,2026-06-19 11:45 IST,2490.1,2026-06-18 15:15 IST,up,2639.3,2026-06-19 10:05 IST,2490.1,2026-06-18 15:25 IST
PATANJALI,largecap,49133.34,solvent extraction,fmcg,True,,5,10,-6.13,-3.61,62.0,19.0,43.0,30.65,18.4,21.82,0.97,0.51,3.33,2.3,0.84,-0.06,0.64,-0.39,1.64,-0.17,-0.14,9.67,-14.46,-16.32,-3.61,12.71,0.61,4.0,0.0,3.0,20.0,largecap,49133.34,solvent extraction,fmcg,sell,2026-06-22T15:15:00+05:30,418.25,up,435.05,2026-06-15 IST,413.75,2026-06-11 IST,up,424.35,2026-06-08 09:15 IST,408.15,2026-06-05 14:00 IST,up,421.3,2026-06-05 14:40 IST,408.15,2026-06-05 14:10 IST
EICHERMOT,largecap,195901.49,automobiles - motorcycles / mopeds,auto,True,,10,20,10.47,6.7,23.0,8.0,15.0,34.78,19.9,12.78,2.49,0.85,8.75,2.1,1.56,0.31,1.89,-0.67,2.83,0.25,0.25,7.13,31.72,-6.55,6.7,13.25,1.91,6.0,0.0,1.0,5.0,largecap,195901.49,automobiles - motorcycles / mopeds,auto,sell,2026-06-22T15:15:00+05:30,7625.0,up,7299.0,2026-06-09 IST,6950.0,2026-06-02 IST,up,7554.0,2026-06-15 10:45 IST,7280.0,2026-06-15 09:15 IST,up,7519.0,2026-06-15 09:50 IST,7280.0,2026-06-15 09:15 IST
TITAN,largecap,362048.07,diamond cutting / jewellery,consumer discretionary,True,,5,10,11.64,7.62,56.0,18.0,38.0,32.14,28.98,20.97,1.61,0.55,5.73,2.98,1.38,0.14,1.04,-0.42,2.5,0.27,0.23,11.64,36.62,0.91,7.62,6.72,0.84,5.0,0.0,3.0,8.0,largecap,362048.07,diamond cutting / jewellery,consumer discretionary,sell,2026-06-22T15:15:00+05:30,4372.5,down,4289.0,2026-06-05 IST,3962.8,2026-06-11 IST,up,4270.7,2026-06-15 09:45 IST,4114.0,2026-06-12 14:00 IST,up,4253.0,2026-06-15 09:15 IST,4114.0,2026-06-12 14:00 IST
KEI,largecap,50300.25,cables - power,industrials,True,,5,10,35.0,25.28,54.0,18.0,36.0,33.33,43.85,20.38,2.44,0.57,8.45,1.52,2.15,0.43,1.62,-0.46,3.51,0.65,0.75,5.28,160.42,18.58,25.28,6.7,0.76,5.0,0.0,2.0,4.0,largecap,50300.25,cables - power,industrials,sell,2026-06-22T15:15:00+05:30,5661.0,down,5398.0,2026-06-05 IST,5107.0,2026-06-08 IST,up,5669.5,2026-06-22 09:15 IST,5471.5,2026-06-19 10:45 IST,up,5566.5,2026-06-17 09:55 IST,5380.0,2026-06-16 15:25 IST
PTCIL,largecap,29055.56,castings & forgings,industrials,True,,20,120,12.69,9.26,7.0,2.0,5.0,28.57,16.06,6.27,8.03,1.25,13.71,1.5,2.56,1.4,5.45,-1.39,3.92,0.23,0.36,12.96,45.68,2.39,9.26,6.87,5.0,11.0,0.0,1.0,4.0,largecap,29055.56,castings & forgings,industrials,sell,2026-06-22T15:15:00+05:30,17900.0,down,19345.0,2026-06-15 IST,17370.0,2026-06-18 IST,down,18650.0,2026-06-19 15:15 IST,17902.0,2026-06-22 12:15 IST,up,17969.0,2026-06-19 09:35 IST,17377.0,2026-06-18 15:00 IST
TATACAP,largecap,127664.44,finance & investments,financials,True,,5,30,16.57,9.76,24.0,9.0,15.0,37.5,21.53,11.72,2.39,0.78,5.91,2.2,1.84,0.41,1.67,-0.64,2.62,0.45,0.39,6.35,48.54,-1.47,9.76,11.24,1.96,5.0,0.0,1.0,3.0,largecap,127664.44,finance & investments,financials,sell,2026-06-22T15:15:00+05:30,355.6,up,348.75,2026-06-16 IST,296.0,2026-06-02 IST,down,379.95,2026-06-19 15:15 IST,358.05,2026-06-22 10:00 IST,down,379.95,2026-06-19 15:25 IST,358.2,2026-06-22 09:50 IST
GROWW,largecap,119706.5,finance & investments,financials,True,,30,180,38.16,28.03,4.0,2.0,2.0,50.0,34.91,5.89,17.45,2.95,31.5,4.98,5.92,7.25,11.36,-1.78,6.38,0.68,0.75,7.58,185.58,24.17,28.03,3.85,11.25,34.0,1.0,1.0,1.0,largecap,119706.5,finance & investments,financials,sell,2026-06-22T15:15:00+05:30,197.3,up,208.49,2026-06-16 IST,188.61,2026-06-09 IST,down,208.48,2026-06-16 09:15 IST,197.5,2026-06-16 10:45 IST,down,208.48,2026-06-16 09:15 IST,199.52,2026-06-16 09:35 IST
TIINDIA,largecap,60208.49,steel - large,industrials,True,,5,10,33.97,23.72,54.0,22.0,32.0,40.74,40.99,18.89,1.86,0.59,5.62,1.74,2.17,0.41,1.52,-0.44,3.48,0.68,0.77,6.31,146.92,17.06,23.72,6.66,0.89,4.0,0.0,3.0,5.0,largecap,60208.49,steel - large,industrials,sell,2026-06-22T15:15:00+05:30,3307.9,up,3312.8,2026-06-16 IST,2962.0,2026-06-11 IST,up,3312.8,2026-06-16 10:45 IST,3207.7,2026-06-15 15:00 IST,up,3205.0,2026-06-15 09:20 IST,3097.5,2026-06-12 14:30 IST
ASTERDM,largecap,37664.81,healthcare,healthcare,True,,5,10,26.75,17.83,47.0,21.0,26.0,44.68,32.84,15.81,1.56,0.61,7.32,1.94,2.08,0.36,1.38,-0.41,3.34,0.59,0.62,7.03,100.76,13.04,17.83,4.8,0.89,6.0,0.0,4.0,8.0,largecap,37664.81,healthcare,healthcare,buy,2026-06-22T15:15:00+05:30,789.85,down,836.5,2026-06-12 IST,761.6,2026-06-17 IST,down,822.4,2026-06-22 09:15 IST,793.25,2026-06-22 09:30 IST,down,822.4,2026-06-22 09:15 IST,793.25,2026-06-22 09:40 IST
INFY,largecap,515384.6,computers - software - large,i.t,True,,5,10,4.63,2.65,43.0,11.0,32.0,25.58,19.96,16.94,1.81,0.53,5.72,2.03,1.18,0.07,0.97,-0.42,2.32,0.13,0.12,6.44,11.75,-7.35,2.65,10.0,0.86,4.0,0.0,3.0,8.0,largecap,515384.6,computers - software - large,i.t,sell,2026-06-22T15:15:00+05:30,1065.0,down,1251.81,2026-06-02 IST,1109.0,2026-06-11 IST,up,1071.6,2026-06-22 09:15 IST,1039.1,2026-06-19 13:15 IST,up,1071.6,2026-06-22 09:15 IST,1040.1,2026-06-19 14:55 IST
RELIANCE,largecap,1778978.85,refineries,energy,True,,5,70,10.38,4.99,12.0,5.0,7.0,41.67,9.74,4.59,1.95,0.66,7.13,1.93,2.12,0.43,1.63,-0.46,3.53,0.36,0.26,5.06,23.0,-9.02,4.99,14.01,2.83,9.0,0.0,2.0,4.0,largecap,1778978.85,refineries,energy,sell,2026-06-22T15:15:00+05:30,1324.9,down,1364.79,2026-05-25 IST,1253.2,2026-06-11 IST,up,1344.8,2026-06-22 09:15 IST,1305.6,2026-06-19 15:00 IST,up,1321.0,2026-06-15 09:15 IST,1281.6,2026-06-12 14:25 IST
NESTLEIND,largecap,269713.32,food - processing - mnc,fmcg,True,,25,60,39.58,22.71,4.0,2.0,2.0,50.0,23.57,0.71,11.79,0.35,23.53,0.37,33.23,5.72,7.44,-0.74,10.07,1.12,1.41,3.78,138.49,12.71,22.71,10.0,13.0,40.0,3.0,1.0,1.0,largecap,269713.32,food - processing - mnc,fmcg,sell,2026-06-22T15:15:00+05:30,1399.0,down,1454.9,2026-06-10 IST,1370.6,2026-06-12 IST,down,1423.9,2026-06-12 13:45 IST,1371.4,2026-06-12 14:15 IST,down,1423.9,2026-06-12 13:45 IST,1371.4,2026-06-12 14:20 IST
SUZLON,largecap,74772.45,electric equipment,industrials,True,,5,10,54.04,38.71,47.0,23.0,24.0,48.94,51.91,18.06,2.26,0.75,7.49,2.7,2.87,0.72,1.9,-0.47,4.01,1.02,1.19,5.34,301.37,32.22,38.71,6.49,1.15,4.0,0.0,5.0,4.0,largecap,74772.45,electric equipment,industrials,sell,2026-06-22T15:15:00+05:30,59.1,down,56.12,2026-06-05 IST,53.07,2026-06-11 IST,up,60.42,2026-06-19 11:45 IST,58.25,2026-06-19 09:15 IST,up,59.23,2026-06-16 10:10 IST,55.38,2026-06-15 15:10 IST
